Inter-Session(Subject) Cross-Validation Results

Final Accuracy:
0.5093

Detailed Classification Report:
              precision    recall  f1-score   support

           0     0.5029    0.5535    0.5269       318
           1     0.5170    0.4663    0.4903       326

    accuracy                         0.5093       644
   macro avg     0.5099    0.5099    0.5086       644
weighted avg     0.5100    0.5093    0.5084       644

False Positive Rate (FPR): 0.4465
True Positive Rate (TPR): 0.4663

Prediction Details (file-level):
Sample 1: Predicted=1, Actual=0 (Incorrect)
Sample 2: Predicted=0, Actual=0 (Correct)
Sample 3: Predicted=0, Actual=0 (Correct)
Sample 4: Predicted=1, Actual=0 (Incorrect)
Sample 5: Predicted=1, Actual=0 (Incorrect)
Sample 6: Predicted=1, Actual=1 (Correct)
Sample 7: Predicted=1, Actual=0 (Incorrect)
Sample 8: Predicted=1, Actual=1 (Correct)
Sample 9: Predicted=0, Actual=1 (Incorrect)
Sample 10: Predicted=0, Actual=1 (Incorrect)
Sample 11: Predicted=1, Actual=1 (Correct)
Sample 12: Predicted=1, Actual=1 (Correct)
Sample 13: Predicted=0, Actual=0 (Correct)
Sample 14: Predicted=0, Actual=0 (Correct)
Sample 15: Predicted=0, Actual=1 (Incorrect)
Sample 16: Predicted=0, Actual=0 (Correct)
Sample 17: Predicted=0, Actual=0 (Correct)
Sample 18: Predicted=0, Actual=1 (Incorrect)
Sample 19: Predicted=0, Actual=1 (Incorrect)
Sample 20: Predicted=1, Actual=0 (Incorrect)
Sample 21: Predicted=0, Actual=1 (Incorrect)
Sample 22: Predicted=0, Actual=0 (Correct)
Sample 23: Predicted=0, Actual=0 (Correct)
Sample 24: Predicted=1, Actual=1 (Correct)
Sample 25: Predicted=0, Actual=1 (Incorrect)
Sample 26: Predicted=1, Actual=0 (Incorrect)
Sample 27: Predicted=1, Actual=1 (Correct)
Sample 28: Predicted=0, Actual=1 (Incorrect)
Sample 29: Predicted=0, Actual=1 (Incorrect)
Sample 30: Predicted=0, Actual=1 (Incorrect)
Sample 31: Predicted=1, Actual=1 (Correct)
Sample 32: Predicted=0, Actual=1 (Incorrect)
Sample 33: Predicted=0, Actual=0 (Correct)
Sample 34: Predicted=1, Actual=1 (Correct)
Sample 35: Predicted=0, Actual=0 (Correct)
Sample 36: Predicted=1, Actual=0 (Incorrect)
Sample 37: Predicted=1, Actual=1 (Correct)
Sample 38: Predicted=0, Actual=1 (Incorrect)
Sample 39: Predicted=1, Actual=1 (Correct)
Sample 40: Predicted=0, Actual=0 (Correct)
Sample 41: Predicted=0, Actual=0 (Correct)
Sample 42: Predicted=0, Actual=0 (Correct)
Sample 43: Predicted=1, Actual=0 (Incorrect)
Sample 44: Predicted=1, Actual=1 (Correct)
Sample 45: Predicted=0, Actual=1 (Incorrect)
Sample 46: Predicted=1, Actual=0 (Incorrect)
Sample 47: Predicted=1, Actual=1 (Correct)
Sample 48: Predicted=1, Actual=1 (Correct)
Sample 49: Predicted=0, Actual=1 (Incorrect)
Sample 50: Predicted=0, Actual=1 (Incorrect)
Sample 51: Predicted=0, Actual=1 (Incorrect)
Sample 52: Predicted=0, Actual=0 (Correct)
Sample 53: Predicted=0, Actual=0 (Correct)
Sample 54: Predicted=0, Actual=0 (Correct)
Sample 55: Predicted=0, Actual=0 (Correct)
Sample 56: Predicted=1, Actual=0 (Incorrect)
Sample 57: Predicted=0, Actual=0 (Correct)
Sample 58: Predicted=1, Actual=1 (Correct)
Sample 59: Predicted=0, Actual=1 (Incorrect)
Sample 60: Predicted=1, Actual=1 (Correct)
Sample 61: Predicted=0, Actual=1 (Incorrect)
Sample 62: Predicted=0, Actual=0 (Correct)
Sample 63: Predicted=0, Actual=1 (Incorrect)
Sample 64: Predicted=1, Actual=1 (Correct)
Sample 65: Predicted=1, Actual=0 (Incorrect)
Sample 66: Predicted=0, Actual=0 (Correct)
Sample 67: Predicted=1, Actual=1 (Correct)
Sample 68: Predicted=0, Actual=0 (Correct)
Sample 69: Predicted=1, Actual=1 (Correct)
Sample 70: Predicted=1, Actual=0 (Incorrect)
Sample 71: Predicted=0, Actual=0 (Correct)
Sample 72: Predicted=0, Actual=1 (Incorrect)
Sample 73: Predicted=0, Actual=1 (Incorrect)
Sample 74: Predicted=0, Actual=1 (Incorrect)
Sample 75: Predicted=0, Actual=1 (Incorrect)
Sample 76: Predicted=1, Actual=1 (Correct)
Sample 77: Predicted=1, Actual=0 (Incorrect)
Sample 78: Predicted=0, Actual=0 (Correct)
Sample 79: Predicted=1, Actual=0 (Incorrect)
Sample 80: Predicted=0, Actual=0 (Correct)
Sample 81: Predicted=1, Actual=0 (Incorrect)
Sample 82: Predicted=0, Actual=1 (Incorrect)
Sample 83: Predicted=0, Actual=0 (Correct)
Sample 84: Predicted=0, Actual=1 (Incorrect)
Sample 85: Predicted=0, Actual=0 (Correct)
Sample 86: Predicted=0, Actual=1 (Incorrect)
Sample 87: Predicted=0, Actual=1 (Incorrect)
Sample 88: Predicted=0, Actual=1 (Incorrect)
Sample 89: Predicted=1, Actual=1 (Correct)
Sample 90: Predicted=1, Actual=1 (Correct)
Sample 91: Predicted=1, Actual=1 (Correct)
Sample 92: Predicted=0, Actual=1 (Incorrect)
Sample 93: Predicted=1, Actual=0 (Incorrect)
Sample 94: Predicted=0, Actual=1 (Incorrect)
Sample 95: Predicted=1, Actual=0 (Incorrect)
Sample 96: Predicted=1, Actual=1 (Correct)
Sample 97: Predicted=0, Actual=0 (Correct)
Sample 98: Predicted=0, Actual=0 (Correct)
Sample 99: Predicted=0, Actual=0 (Correct)
Sample 100: Predicted=1, Actual=1 (Correct)
Sample 101: Predicted=1, Actual=0 (Incorrect)
Sample 102: Predicted=1, Actual=0 (Incorrect)
Sample 103: Predicted=1, Actual=0 (Incorrect)
Sample 104: Predicted=0, Actual=0 (Correct)
Sample 105: Predicted=1, Actual=1 (Correct)
Sample 106: Predicted=0, Actual=0 (Correct)
Sample 107: Predicted=0, Actual=0 (Correct)
Sample 108: Predicted=0, Actual=0 (Correct)
Sample 109: Predicted=1, Actual=0 (Incorrect)
Sample 110: Predicted=1, Actual=0 (Incorrect)
Sample 111: Predicted=0, Actual=0 (Correct)
Sample 112: Predicted=0, Actual=1 (Incorrect)
Sample 113: Predicted=0, Actual=0 (Correct)
Sample 114: Predicted=1, Actual=0 (Incorrect)
Sample 115: Predicted=1, Actual=0 (Incorrect)
Sample 116: Predicted=0, Actual=0 (Correct)
Sample 117: Predicted=1, Actual=0 (Incorrect)
Sample 118: Predicted=1, Actual=1 (Correct)
Sample 119: Predicted=1, Actual=1 (Correct)
Sample 120: Predicted=0, Actual=0 (Correct)
Sample 121: Predicted=1, Actual=1 (Correct)
Sample 122: Predicted=1, Actual=1 (Correct)
Sample 123: Predicted=0, Actual=1 (Incorrect)
Sample 124: Predicted=1, Actual=0 (Incorrect)
Sample 125: Predicted=1, Actual=0 (Incorrect)
Sample 126: Predicted=0, Actual=1 (Incorrect)
Sample 127: Predicted=1, Actual=1 (Correct)
Sample 128: Predicted=0, Actual=0 (Correct)
Sample 129: Predicted=1, Actual=0 (Incorrect)
