Inter-Session(Subject) Cross-Validation Results

Final Accuracy:
0.5450

Detailed Classification Report:
              precision    recall  f1-score   support

           0     0.5598    0.3679    0.4440       318
           1     0.5379    0.7178    0.6150       326

    accuracy                         0.5450       644
   macro avg     0.5489    0.5429    0.5295       644
weighted avg     0.5487    0.5450    0.5306       644

False Positive Rate (FPR): 0.6321
True Positive Rate (TPR): 0.7178

Prediction Details (file-level):
Sample 1: Predicted=0, Actual=0 (Correct)
Sample 2: Predicted=1, Actual=0 (Incorrect)
Sample 3: Predicted=0, Actual=0 (Correct)
Sample 4: Predicted=0, Actual=0 (Correct)
Sample 5: Predicted=1, Actual=0 (Incorrect)
Sample 6: Predicted=1, Actual=1 (Correct)
Sample 7: Predicted=1, Actual=0 (Incorrect)
Sample 8: Predicted=1, Actual=1 (Correct)
Sample 9: Predicted=1, Actual=1 (Correct)
Sample 10: Predicted=0, Actual=1 (Incorrect)
Sample 11: Predicted=1, Actual=1 (Correct)
Sample 12: Predicted=1, Actual=1 (Correct)
Sample 13: Predicted=1, Actual=0 (Incorrect)
Sample 14: Predicted=1, Actual=0 (Incorrect)
Sample 15: Predicted=1, Actual=1 (Correct)
Sample 16: Predicted=1, Actual=0 (Incorrect)
Sample 17: Predicted=0, Actual=0 (Correct)
Sample 18: Predicted=1, Actual=1 (Correct)
Sample 19: Predicted=0, Actual=1 (Incorrect)
Sample 20: Predicted=0, Actual=0 (Correct)
Sample 21: Predicted=0, Actual=1 (Incorrect)
Sample 22: Predicted=1, Actual=0 (Incorrect)
Sample 23: Predicted=0, Actual=0 (Correct)
Sample 24: Predicted=1, Actual=1 (Correct)
Sample 25: Predicted=0, Actual=1 (Incorrect)
Sample 26: Predicted=1, Actual=0 (Incorrect)
Sample 27: Predicted=1, Actual=1 (Correct)
Sample 28: Predicted=1, Actual=1 (Correct)
Sample 29: Predicted=1, Actual=1 (Correct)
Sample 30: Predicted=1, Actual=1 (Correct)
Sample 31: Predicted=1, Actual=1 (Correct)
Sample 32: Predicted=1, Actual=1 (Correct)
Sample 33: Predicted=0, Actual=0 (Correct)
Sample 34: Predicted=1, Actual=1 (Correct)
Sample 35: Predicted=1, Actual=0 (Incorrect)
Sample 36: Predicted=1, Actual=0 (Incorrect)
Sample 37: Predicted=0, Actual=1 (Incorrect)
Sample 38: Predicted=1, Actual=1 (Correct)
Sample 39: Predicted=1, Actual=1 (Correct)
Sample 40: Predicted=0, Actual=0 (Correct)
Sample 41: Predicted=0, Actual=0 (Correct)
Sample 42: Predicted=0, Actual=0 (Correct)
Sample 43: Predicted=1, Actual=0 (Incorrect)
Sample 44: Predicted=1, Actual=1 (Correct)
Sample 45: Predicted=0, Actual=1 (Incorrect)
Sample 46: Predicted=1, Actual=0 (Incorrect)
Sample 47: Predicted=0, Actual=1 (Incorrect)
Sample 48: Predicted=0, Actual=1 (Incorrect)
Sample 49: Predicted=1, Actual=1 (Correct)
Sample 50: Predicted=1, Actual=1 (Correct)
Sample 51: Predicted=1, Actual=1 (Correct)
Sample 52: Predicted=1, Actual=0 (Incorrect)
Sample 53: Predicted=0, Actual=0 (Correct)
Sample 54: Predicted=1, Actual=0 (Incorrect)
Sample 55: Predicted=1, Actual=0 (Incorrect)
Sample 56: Predicted=1, Actual=0 (Incorrect)
