Intra-Session (Intra-Subject) Cross-Validation Results

Average Accuracy:
0.5262 ± 0.0961
Average ROC AUC Score:
0.4624 ± 0.2602
Average F1 Score:
0.3869 ± 0.1037

Aggregated Confusion Matrix:
[[21 12]
 [20 15]]

Prediction Details (sample-level):
Participant s04, Test Sample 1: Predicted=0, Actual=0 (Correct)
Participant s04, Test Sample 2: Predicted=0, Actual=0 (Correct)
Participant s04, Test Sample 3: Predicted=1, Actual=0 (Incorrect)
Participant s04, Test Sample 4: Predicted=0, Actual=1 (Incorrect)
Participant s04, Test Sample 5: Predicted=0, Actual=0 (Correct)
Participant s04, Test Sample 6: Predicted=0, Actual=0 (Correct)
Participant s04, Test Sample 7: Predicted=0, Actual=1 (Incorrect)
Participant s02, Test Sample 1: Predicted=1, Actual=0 (Incorrect)
Participant s02, Test Sample 2: Predicted=1, Actual=0 (Incorrect)
Participant s02, Test Sample 3: Predicted=1, Actual=0 (Incorrect)
Participant s02, Test Sample 4: Predicted=1, Actual=1 (Correct)
Participant s02, Test Sample 5: Predicted=1, Actual=1 (Correct)
Participant s02, Test Sample 6: Predicted=1, Actual=1 (Correct)
Participant s02, Test Sample 7: Predicted=1, Actual=1 (Correct)
Participant s29, Test Sample 1: Predicted=0, Actual=0 (Correct)
Participant s29, Test Sample 2: Predicted=0, Actual=0 (Correct)
Participant s29, Test Sample 3: Predicted=0, Actual=0 (Correct)
Participant s29, Test Sample 4: Predicted=0, Actual=1 (Incorrect)
Participant s29, Test Sample 5: Predicted=0, Actual=1 (Incorrect)
Participant s29, Test Sample 6: Predicted=0, Actual=0 (Correct)
Participant s29, Test Sample 7: Predicted=0, Actual=1 (Incorrect)
Participant s07, Test Sample 1: Predicted=1, Actual=0 (Incorrect)
Participant s07, Test Sample 2: Predicted=1, Actual=1 (Correct)
Participant s07, Test Sample 3: Predicted=1, Actual=1 (Correct)
Participant s07, Test Sample 4: Predicted=1, Actual=1 (Correct)
Participant s07, Test Sample 5: Predicted=1, Actual=1 (Correct)
Participant s07, Test Sample 6: Predicted=1, Actual=0 (Incorrect)
Participant s07, Test Sample 7: Predicted=1, Actual=1 (Correct)
Participant s25, Test Sample 1: Predicted=0, Actual=0 (Correct)
Participant s25, Test Sample 2: Predicted=0, Actual=1 (Incorrect)
Participant s25, Test Sample 3: Predicted=0, Actual=0 (Correct)
Participant s25, Test Sample 4: Predicted=0, Actual=1 (Incorrect)
Participant s25, Test Sample 5: Predicted=0, Actual=0 (Correct)
Participant s25, Test Sample 6: Predicted=0, Actual=1 (Incorrect)
Participant s01, Test Sample 1: Predicted=0, Actual=0 (Correct)
Participant s01, Test Sample 2: Predicted=0, Actual=0 (Correct)
Participant s01, Test Sample 3: Predicted=0, Actual=1 (Incorrect)
Participant s01, Test Sample 4: Predicted=0, Actual=1 (Incorrect)
Participant s01, Test Sample 5: Predicted=0, Actual=0 (Correct)
Participant s01, Test Sample 6: Predicted=0, Actual=1 (Incorrect)
Participant s01, Test Sample 7: Predicted=0, Actual=0 (Correct)
Participant s01, Test Sample 8: Predicted=0, Actual=1 (Incorrect)
Participant s14, Test Sample 1: Predicted=0, Actual=0 (Correct)
Participant s14, Test Sample 2: Predicted=0, Actual=1 (Incorrect)
Participant s14, Test Sample 3: Predicted=0, Actual=0 (Correct)
Participant s14, Test Sample 4: Predicted=0, Actual=1 (Incorrect)
Participant s14, Test Sample 5: Predicted=0, Actual=1 (Incorrect)
Participant s14, Test Sample 6: Predicted=0, Actual=0 (Correct)
Participant s14, Test Sample 7: Predicted=0, Actual=1 (Incorrect)
Participant s28, Test Sample 1: Predicted=1, Actual=1 (Correct)
Participant s28, Test Sample 2: Predicted=1, Actual=1 (Correct)
Participant s28, Test Sample 3: Predicted=1, Actual=0 (Incorrect)
Participant s28, Test Sample 4: Predicted=1, Actual=1 (Correct)
Participant s28, Test Sample 5: Predicted=1, Actual=0 (Incorrect)
Participant s28, Test Sample 6: Predicted=1, Actual=0 (Incorrect)
Participant s28, Test Sample 7: Predicted=1, Actual=1 (Correct)
Participant s19, Test Sample 1: Predicted=0, Actual=1 (Incorrect)
Participant s19, Test Sample 2: Predicted=0, Actual=0 (Correct)
Participant s19, Test Sample 3: Predicted=0, Actual=0 (Correct)
Participant s19, Test Sample 4: Predicted=0, Actual=1 (Incorrect)
Participant s19, Test Sample 5: Predicted=0, Actual=0 (Correct)
Participant s19, Test Sample 6: Predicted=0, Actual=1 (Incorrect)
Participant s11, Test Sample 1: Predicted=1, Actual=0 (Incorrect)
Participant s11, Test Sample 2: Predicted=1, Actual=1 (Correct)
Participant s11, Test Sample 3: Predicted=1, Actual=0 (Incorrect)
Participant s11, Test Sample 4: Predicted=0, Actual=1 (Incorrect)
Participant s11, Test Sample 5: Predicted=1, Actual=1 (Correct)
Participant s11, Test Sample 6: Predicted=1, Actual=0 (Incorrect)
